frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
347.75,-1.53,1.58,-1.53,1.59,-1.60,-1.61,-1.50,-3.13,-3.13,-3.12
351.23,-1.53,1.61,-1.53,1.59,-1.60,-1.60,-1.49,-3.13,-3.13,-3.14
354.74,-1.53,1.59,-1.53,1.60,-1.59,-1.59,-1.49,-3.12,-3.12,-3.12
358.28,-1.52,1.60,-1.52,1.60,-1.59,-1.58,-1.48,-3.12,-3.12,-3.12
361.87,-1.52,1.60,-1.52,1.60,-1.59,-1.57,-1.48,-3.11,-3.11,-3.12
365.49,-1.51,1.59,-1.52,1.59,-1.59,-1.57,-1.48,-3.11,-3.11,-3.11
369.14,-1.51,1.59,-1.51,1.59,-1.59,-1.56,-1.48,-3.10,-3.10,-3.10
372.83,-1.51,1.58,-1.50,1.59,-1.60,-1.55,-1.48,-3.10,-3.10,-3.09
376.56,-1.50,1.60,-1.50,1.60,-1.60,-1.54,-1.48,-3.10,-3.10,-3.10
380.33,-1.49,1.61,-1.49,1.61,-1.61,-1.53,-1.48,-3.09,-3.09,-3.10
384.13,-1.48,1.61,-1.48,1.62,-1.62,-1.52,-1.48,-3.09,-3.09,-3.09
387.97,-1.47,1.62,-1.47,1.63,-1.62,-1.52,-1.49,-3.09,-3.09,-3.09
391.85,-1.46,1.64,-1.46,1.64,-1.63,-1.51,-1.49,-3.09,-3.09,-3.10
395.77,-1.45,1.66,-1.45,1.65,-1.65,-1.50,-1.50,-3.10,-3.10,-3.11
399.73,-1.45,1.66,-1.45,1.66,-1.66,-1.49,-1.50,-3.11,-3.11,-3.11
403.72,-1.45,1.65,-1.45,1.66,-1.67,-1.49,-1.51,-3.12,-3.12,-3.10
407.76,-1.44,1.68,-1.44,1.67,-1.68,-1.48,-1.52,-3.12,-3.13,-3.12
411.84,-1.44,1.69,-1.44,1.69,-1.69,-1.47,-1.53,-3.13,-3.13,-3.13
415.96,-1.43,1.70,-1.43,1.71,-1.70,-1.46,-1.54,-3.13,-3.13,-3.13
420.12,-1.41,1.72,-1.41,1.72,-1.71,-1.46,-1.54,-3.13,-3.13,-3.14
424.32,-1.40,1.73,-1.40,1.72,-1.72,-1.45,-1.55,-3.12,-3.12,-3.13
428.56,-1.39,1.72,-1.39,1.72,-1.72,-1.44,-1.56,-3.11,-3.11,-3.11
432.85,-1.38,1.71,-1.38,1.72,-1.72,-1.43,-1.57,-3.10,-3.10,-3.09
437.18,-1.37,1.71,-1.37,1.71,-1.71,-1.43,-1.58,-3.07,-3.07,-3.08
441.55,-1.36,1.69,-1.36,1.69,-1.69,-1.42,-1.59,-3.04,-3.04,-3.05
445.96,-1.34,1.67,-1.34,1.67,-1.66,-1.41,-1.60,-3.00,-3.00,-3.01
450.42,-1.33,1.64,-1.33,1.64,-1.63,-1.40,-1.61,-2.96,-2.96,-2.97
454.93,-1.32,1.60,-1.32,1.60,-1.59,-1.40,-1.61,-2.91,-2.91,-2.92
459.48,-1.31,1.55,-1.31,1.55,-1.55,-1.39,-1.62,-2.85,-2.85,-2.86
464.07,-1.30,1.49,-1.30,1.50,-1.50,-1.38,-1.62,-2.80,-2.80,-2.79
468.71,-1.28,1.45,-1.28,1.45,-1.45,-1.38,-1.63,-2.74,-2.74,-2.74
473.40,-1.27,1.41,-1.27,1.40,-1.41,-1.37,-1.63,-2.68,-2.68,-2.68
478.13,-1.26,1.36,-1.26,1.36,-1.37,-1.36,-1.63,-2.63,-2.63,-2.62
482.91,-1.25,1.32,-1.25,1.33,-1.33,-1.35,-1.63,-2.58,-2.58,-2.57
487.74,-1.23,1.30,-1.23,1.30,-1.30,-1.35,-1.63,-2.53,-2.53,-2.54
492.62,-1.22,1.28,-1.22,1.28,-1.27,-1.34,-1.63,-2.49,-2.49,-2.50
497.55,-1.21,1.25,-1.21,1.26,-1.25,-1.33,-1.62,-2.46,-2.46,-2.46
502.52,-1.19,1.25,-1.19,1.24,-1.23,-1.33,-1.62,-2.43,-2.43,-2.44
507.55,-1.18,1.22,-1.18,1.23,-1.22,-1.32,-1.61,-2.41,-2.41,-2.41
512.62,-1.18,1.22,-1.18,1.22,-1.22,-1.31,-1.60,-2.40,-2.40,-2.40
517.75,-1.17,1.22,-1.17,1.22,-1.23,-1.30,-1.59,-2.40,-2.40,-2.39
522.93,-1.17,1.22,-1.17,1.23,-1.24,-1.30,-1.58,-2.40,-2.40,-2.39
528.16,-1.16,1.25,-1.16,1.25,-1.26,-1.29,-1.57,-2.42,-2.42,-2.41
533.44,-1.15,1.28,-1.15,1.28,-1.29,-1.28,-1.55,-2.44,-2.43,-2.43
538.77,-1.13,1.33,-1.13,1.32,-1.32,-1.28,-1.53,-2.45,-2.46,-2.46
544.16,-1.11,1.37,-1.11,1.37,-1.37,-1.27,-1.52,-2.48,-2.48,-2.48
549.60,-1.09,1.41,-1.09,1.41,-1.41,-1.26,-1.50,-2.51,-2.51,-2.51
555.10,-1.08,1.46,-1.08,1.46,-1.46,-1.25,-1.48,-2.54,-2.54,-2.54
560.65,-1.06,1.51,-1.07,1.51,-1.51,-1.24,-1.46,-2.57,-2.58,-2.58
566.25,-1.06,1.56,-1.06,1.56,-1.55,-1.24,-1.44,-2.61,-2.61,-2.62
571.92,-1.05,1.60,-1.05,1.60,-1.59,-1.23,-1.42,-2.65,-2.65,-2.65
577.64,-1.05,1.63,-1.05,1.63,-1.63,-1.22,-1.40,-2.68,-2.68,-2.68
583.41,-1.04,1.66,-1.04,1.66,-1.66,-1.21,-1.37,-2.70,-2.70,-2.70
589.25,-1.04,1.67,-1.04,1.68,-1.68,-1.20,-1.35,-2.71,-2.71,-2.71
595.14,-1.03,1.69,-1.03,1.69,-1.69,-1.19,-1.33,-2.71,-2.71,-2.72
601.09,-1.02,1.70,-1.02,1.69,-1.68,-1.19,-1.30,-2.71,-2.71,-2.72
607.10,-1.02,1.68,-1.02,1.68,-1.67,-1.18,-1.28,-2.69,-2.69,-2.70
613.17,-1.01,1.66,-1.01,1.66,-1.65,-1.17,-1.26,-2.66,-2.66,-2.67
619.30,-1.01,1.62,-1.01,1.62,-1.62,-1.16,-1.24,-2.63,-2.63,-2.63
625.50,-1.01,1.57,-1.00,1.58,-1.58,-1.15,-1.22,-2.58,-2.58,-2.58
631.75,-1.00,1.54,-1.00,1.53,-1.53,-1.14,-1.19,-2.53,-2.53,-2.54
638.07,-1.00,1.48,-1.00,1.48,-1.48,-1.13,-1.17,-2.48,-2.48,-2.48
644.45,-1.00,1.42,-1.00,1.42,-1.42,-1.11,-1.15,-2.42,-2.42,-2.42
650.89,-1.00,1.36,-0.99,1.36,-1.36,-1.10,-1.13,-2.36,-2.36,-2.36
657.40,-0.99,1.29,-0.99,1.30,-1.30,-1.09,-1.11,-2.29,-2.29,-2.28
663.98,-0.98,1.24,-0.98,1.24,-1.24,-1.08,-1.09,-2.22,-2.22,-2.22
670.62,-0.97,1.18,-0.97,1.18,-1.19,-1.07,-1.08,-2.15,-2.15,-2.15
677.32,-0.96,1.13,-0.96,1.13,-1.13,-1.05,-1.06,-2.09,-2.09,-2.09
684.10,-0.95,1.08,-0.95,1.08,-1.08,-1.04,-1.04,-2.02,-2.02,-2.03
690.94,-0.94,1.03,-0.94,1.03,-1.03,-1.02,-1.03,-1.97,-1.97,-1.97
697.85,-0.94,0.98,-0.94,0.98,-0.98,-1.01,-1.01,-1.92,-1.92,-1.92
704.83,-0.94,0.93,-0.94,0.93,-0.94,-0.99,-1.00,-1.87,-1.87,-1.87
711.87,-0.93,0.90,-0.93,0.90,-0.90,-0.98,-0.98,-1.83,-1.83,-1.83
718.99,-0.93,0.86,-0.93,0.86,-0.87,-0.96,-0.97,-1.80,-1.80,-1.79
726.18,-0.92,0.84,-0.92,0.84,-0.84,-0.94,-0.96,-1.76,-1.76,-1.76
733.44,-0.91,0.82,-0.91,0.82,-0.82,-0.92,-0.95,-1.73,-1.73,-1.73
740.78,-0.90,0.80,-0.90,0.80,-0.80,-0.90,-0.94,-1.70,-1.70,-1.71
748.19,-0.90,0.78,-0.90,0.78,-0.78,-0.88,-0.93,-1.68,-1.68,-1.68
755.67,-0.89,0.76,-0.89,0.76,-0.76,-0.85,-0.92,-1.65,-1.65,-1.65
763.23,-0.87,0.74,-0.87,0.74,-0.74,-0.83,-0.91,-1.62,-1.62,-1.62
770.86,-0.86,0.73,-0.86,0.73,-0.72,-0.80,-0.90,-1.58,-1.58,-1.59
778.57,-0.85,0.70,-0.85,0.70,-0.70,-0.78,-0.90,-1.54,-1.55,-1.55
786.35,-0.83,0.68,-0.83,0.67,-0.67,-0.75,-0.89,-1.50,-1.50,-1.51
794.22,-0.82,0.64,-0.82,0.64,-0.64,-0.72,-0.89,-1.46,-1.46,-1.46
802.16,-0.80,0.61,-0.80,0.61,-0.61,-0.69,-0.88,-1.41,-1.41,-1.41
810.18,-0.78,0.58,-0.78,0.58,-0.57,-0.66,-0.88,-1.36,-1.36,-1.36
818.28,-0.76,0.54,-0.76,0.54,-0.54,-0.62,-0.87,-1.30,-1.30,-1.30
826.46,-0.74,0.51,-0.74,0.50,-0.50,-0.59,-0.87,-1.24,-1.24,-1.25
834.73,-0.72,0.46,-0.72,0.46,-0.46,-0.56,-0.86,-1.19,-1.18,-1.18
843.08,-0.70,0.43,-0.70,0.43,-0.43,-0.52,-0.86,-1.13,-1.13,-1.13
851.51,-0.67,0.40,-0.67,0.39,-0.39,-0.48,-0.86,-1.07,-1.07,-1.07
860.02,-0.65,0.36,-0.65,0.36,-0.36,-0.45,-0.86,-1.01,-1.01,-1.01
868.62,-0.62,0.33,-0.62,0.33,-0.34,-0.41,-0.85,-0.96,-0.96,-0.95
877.31,-0.60,0.30,-0.59,0.31,-0.31,-0.38,-0.85,-0.91,-0.90,-0.90
886.08,-0.56,0.29,-0.56,0.29,-0.29,-0.35,-0.85,-0.85,-0.85,-0.85
894.94,-0.52,0.28,-0.52,0.28,-0.27,-0.32,-0.85,-0.80,-0.80,-0.80
903.89,-0.48,0.27,-0.48,0.27,-0.26,-0.29,-0.85,-0.74,-0.74,-0.75
912.93,-0.44,0.26,-0.44,0.25,-0.25,-0.27,-0.85,-0.70,-0.70,-0.70
922.06,-0.40,0.25,-0.40,0.25,-0.25,-0.26,-0.84,-0.65,-0.65,-0.65
931.28,-0.36,0.24,-0.36,0.24,-0.24,-0.24,-0.84,-0.60,-0.60,-0.60
940.59,-0.32,0.24,-0.32,0.24,-0.24,-0.24,-0.84,-0.56,-0.56,-0.56
950.00,-0.27,0.25,-0.27,0.25,-0.24,-0.23,-0.84,-0.51,-0.51,-0.52
959.50,-0.22,0.25,-0.23,0.25,-0.25,-0.24,-0.83,-0.47,-0.47,-0.48
969.09,-0.18,0.25,-0.18,0.25,-0.25,-0.25,-0.83,-0.43,-0.43,-0.43
978.78,-0.13,0.26,-0.13,0.26,-0.27,-0.27,-0.82,-0.39,-0.39,-0.39
988.57,-0.07,0.28,-0.07,0.28,-0.28,-0.29,-0.82,-0.35,-0.35,-0.35
998.46,-0.01,0.30,-0.01,0.30,-0.30,-0.32,-0.81,-0.31,-0.31,-0.31
1008.44,0.05,0.33,0.05,0.32,-0.33,-0.36,-0.81,-0.28,-0.28,-0.28
1018.53,0.11,0.35,0.11,0.35,-0.35,-0.39,-0.80,-0.25,-0.24,-0.24
1028.71,0.17,0.38,0.17,0.38,-0.39,-0.43,-0.80,-0.22,-0.21,-0.21
1039.00,0.24,0.43,0.24,0.43,-0.43,-0.47,-0.79,-0.18,-0.19,-0.19
1049.39,0.31,0.47,0.31,0.47,-0.47,-0.51,-0.78,-0.16,-0.16,-0.16
1059.88,0.38,0.52,0.38,0.51,-0.51,-0.56,-0.78,-0.13,-0.13,-0.14
1070.48,0.45,0.55,0.45,0.56,-0.56,-0.60,-0.77,-0.11,-0.11,-0.10
1081.19,0.52,0.61,0.52,0.60,-0.60,-0.65,-0.76,-0.08,-0.08,-0.09
1092.00,0.60,0.66,0.60,0.65,-0.66,-0.69,-0.75,-0.06,-0.06,-0.06
1102.92,0.67,0.70,0.67,0.71,-0.71,-0.74,-0.74,-0.04,-0.04,-0.03
1113.95,0.75,0.76,0.75,0.76,-0.76,-0.78,-0.73,-0.02,-0.01,-0.02
1125.09,0.83,0.82,0.83,0.82,-0.82,-0.83,-0.72,0.01,0.01,0.01
1136.34,0.91,0.88,0.91,0.87,-0.87,-0.87,-0.72,0.04,0.03,0.03
1147.70,0.99,0.93,0.99,0.93,-0.93,-0.92,-0.71,0.06,0.06,0.06
1159.18,1.07,0.99,1.07,0.99,-0.99,-0.96,-0.70,0.08,0.08,0.08
1170.77,1.15,1.05,1.15,1.04,-1.04,-1.01,-0.69,0.10,0.10,0.10
1182.48,1.23,1.10,1.23,1.10,-1.10,-1.05,-0.68,0.13,0.13,0.13
1194.30,1.31,1.16,1.31,1.15,-1.16,-1.10,-0.67,0.15,0.15,0.15
1206.25,1.39,1.20,1.39,1.21,-1.21,-1.14,-0.66,0.18,0.18,0.19
1218.31,1.48,1.26,1.48,1.26,-1.26,-1.19,-0.65,0.22,0.22,0.22
1230.49,1.57,1.32,1.57,1.32,-1.31,-1.23,-0.65,0.26,0.26,0.25
1242.80,1.65,1.37,1.65,1.36,-1.36,-1.28,-0.64,0.30,0.29,0.28
1255.22,1.73,1.40,1.73,1.40,-1.40,-1.32,-0.63,0.33,0.33,0.33
1267.78,1.82,1.43,1.82,1.44,-1.44,-1.37,-0.62,0.38,0.38,0.38
1280.45,1.90,1.48,1.90,1.47,-1.48,-1.42,-0.62,0.42,0.42,0.42
1293.26,1.98,1.50,1.98,1.50,-1.51,-1.46,-0.61,0.47,0.47,0.48
1306.19,2.07,1.54,2.07,1.54,-1.54,-1.51,-0.61,0.53,0.53,0.53
1319.25,2.16,1.56,2.16,1.56,-1.56,-1.55,-0.60,0.59,0.59,0.60
1332.45,2.24,1.59,2.24,1.59,-1.59,-1.59,-0.60,0.66,0.66,0.65
1345.77,2.32,1.61,2.32,1.61,-1.60,-1.63,-0.59,0.72,0.72,0.71
1359.23,2.41,1.62,2.41,1.63,-1.62,-1.66,-0.59,0.79,0.79,0.78
1372.82,2.49,1.64,2.49,1.63,-1.63,-1.69,-0.59,0.86,0.86,0.85
1386.55,2.56,1.63,2.56,1.63,-1.63,-1.72,-0.58,0.93,0.93,0.93
1400.41,2.64,1.63,2.64,1.63,-1.64,-1.74,-0.58,1.00,1.00,1.01
1414.42,2.71,1.62,2.72,1.63,-1.64,-1.76,-0.58,1.07,1.07,1.09
1428.56,2.80,1.64,2.80,1.64,-1.65,-1.76,-0.58,1.16,1.16,1.16
1442.85,2.90,1.65,2.90,1.65,-1.65,-1.77,-0.58,1.25,1.25,1.25
1457.28,2.99,1.65,2.99,1.65,-1.64,-1.76,-0.58,1.35,1.35,1.34
1471.85,3.08,1.66,3.07,1.65,-1.63,-1.75,-0.58,1.44,1.44,1.42
1486.57,3.15,1.63,3.15,1.63,-1.62,-1.72,-0.58,1.53,1.53,1.52
1501.43,3.23,1.61,3.23,1.61,-1.61,-1.70,-0.58,1.62,1.62,1.62
1516.45,3.30,1.58,3.31,1.58,-1.58,-1.66,-0.58,1.72,1.72,1.72
1531.61,3.39,1.54,3.39,1.55,-1.56,-1.62,-0.59,1.83,1.83,1.84
1546.93,3.47,1.52,3.47,1.52,-1.52,-1.58,-0.59,1.95,1.95,1.95
1562.40,3.55,1.48,3.55,1.48,-1.49,-1.53,-0.59,2.07,2.07,2.07
1578.02,3.64,1.45,3.64,1.45,-1.45,-1.48,-0.59,2.19,2.19,2.19
1593.80,3.71,1.42,3.71,1.41,-1.40,-1.43,-0.60,2.31,2.31,2.29
1609.74,3.79,1.37,3.79,1.37,-1.36,-1.38,-0.60,2.43,2.43,2.42
1625.84,3.87,1.31,3.87,1.31,-1.32,-1.32,-0.60,2.55,2.55,2.55
1642.10,3.94,1.25,3.95,1.26,-1.27,-1.27,-0.61,2.67,2.67,2.69
1658.52,4.03,1.21,4.03,1.22,-1.23,-1.21,-0.61,2.81,2.81,2.82
1675.10,4.12,1.18,4.12,1.18,-1.18,-1.15,-0.61,2.94,2.94,2.94
1691.85,4.21,1.14,4.21,1.13,-1.13,-1.10,-0.61,3.08,3.08,3.07
1708.77,4.30,1.09,4.30,1.09,-1.07,-1.05,-0.61,3.22,3.22,3.21
1725.86,4.38,1.03,4.38,1.03,-1.02,-0.99,-0.62,3.35,3.35,3.35
1743.12,4.46,0.98,4.46,0.97,-0.97,-0.94,-0.62,3.49,3.49,3.48
1760.55,4.54,0.91,4.54,0.92,-0.92,-0.89,-0.62,3.62,3.62,3.63
1778.15,4.63,0.86,4.63,0.86,-0.87,-0.84,-0.61,3.76,3.76,3.77
1795.94,4.72,0.82,4.71,0.81,-0.82,-0.79,-0.61,3.90,3.90,3.89
1813.90,4.80,0.76,4.80,0.77,-0.77,-0.74,-0.61,4.04,4.04,4.04
1832.03,4.90,0.72,4.90,0.72,-0.72,-0.70,-0.60,4.18,4.18,4.18
1850.36,4.99,0.67,4.99,0.67,-0.67,-0.65,-0.60,4.33,4.33,4.32
1868.86,5.09,0.62,5.09,0.62,-0.62,-0.61,-0.59,4.47,4.47,4.47
1887.55,5.19,0.58,5.19,0.58,-0.57,-0.56,-0.58,4.62,4.62,4.61
1906.42,5.28,0.52,5.28,0.52,-0.52,-0.52,-0.57,4.76,4.76,4.75
1925.49,5.36,0.47,5.37,0.47,-0.47,-0.47,-0.55,4.89,4.89,4.89
1944.74,5.46,0.42,5.46,0.42,-0.42,-0.43,-0.54,5.03,5.03,5.04
1964.19,5.56,0.38,5.56,0.37,-0.38,-0.39,-0.52,5.18,5.18,5.18
1983.83,5.66,0.33,5.66,0.33,-0.34,-0.35,-0.50,5.32,5.32,5.33
2003.67,5.76,0.29,5.76,0.29,-0.30,-0.30,-0.48,5.46,5.46,5.47
2023.71,5.86,0.26,5.86,0.26,-0.26,-0.26,-0.45,5.60,5.60,5.60
2043.94,5.97,0.22,5.97,0.23,-0.23,-0.22,-0.43,5.74,5.74,5.74
2064.38,6.06,0.20,6.06,0.20,-0.19,-0.18,-0.40,5.88,5.87,5.86
2085.03,6.16,0.16,6.16,0.16,-0.15,-0.13,-0.37,6.01,6.01,6.00
2105.88,6.25,0.11,6.25,0.11,-0.10,-0.09,-0.34,6.15,6.15,6.14
2126.94,6.34,0.06,6.34,0.06,-0.05,-0.04,-0.30,6.29,6.29,6.28
2148.20,6.43,0.01,6.43,0.01,0.00,-0.00,-0.26,6.43,6.43,6.42
2169.69,6.51,-0.05,6.51,-0.05,0.06,0.04,-0.22,6.56,6.57,6.56
2191.38,6.59,-0.11,6.59,-0.12,0.11,0.09,-0.18,6.70,6.70,6.70
2213.30,6.67,-0.18,6.67,-0.18,0.17,0.14,-0.14,6.84,6.84,6.85
2235.43,6.75,-0.24,6.75,-0.23,0.22,0.19,-0.09,6.97,6.97,6.99
2257.78,6.83,-0.28,6.83,-0.28,0.27,0.24,-0.05,7.11,7.11,7.11
2280.36,6.91,-0.33,6.92,-0.32,0.32,0.29,0.00,7.24,7.24,7.24
2303.17,6.99,-0.36,7.00,-0.36,0.37,0.34,0.05,7.36,7.36,7.35
2326.20,7.07,-0.40,7.06,-0.41,0.41,0.39,0.10,7.48,7.47,7.47
2349.46,7.12,-0.46,7.12,-0.45,0.45,0.45,0.16,7.57,7.57,7.58
2372.95,7.16,-0.51,7.17,-0.50,0.49,0.50,0.21,7.66,7.66,7.67
2396.68,7.21,-0.54,7.21,-0.55,0.54,0.56,0.27,7.75,7.75,7.75
2420.65,7.25,-0.59,7.26,-0.58,0.59,0.63,0.32,7.85,7.85,7.84
2444.86,7.30,-0.63,7.29,-0.64,0.65,0.69,0.38,7.95,7.94,7.93
2469.31,7.32,-0.70,7.32,-0.70,0.71,0.76,0.44,8.02,8.02,8.01
2494.00,7.33,-0.79,7.33,-0.78,0.78,0.83,0.50,8.11,8.11,8.12
2518.94,7.34,-0.86,7.35,-0.86,0.86,0.90,0.56,8.20,8.20,8.20
2544.13,7.36,-0.93,7.36,-0.94,0.95,0.98,0.63,8.30,8.31,8.29
2569.57,7.37,-1.02,7.36,-1.03,1.04,1.06,0.69,8.41,8.41,8.39
2595.27,7.36,-1.13,7.36,-1.14,1.15,1.14,0.76,8.51,8.51,8.49
2621.22,7.34,-1.26,7.34,-1.26,1.26,1.23,0.82,8.60,8.60,8.60
2647.43,7.32,-1.38,7.32,-1.38,1.37,1.32,0.89,8.69,8.69,8.70
2673.90,7.30,-1.49,7.31,-1.49,1.48,1.40,0.96,8.78,8.78,8.79
2700.64,7.29,-1.58,7.28,-1.59,1.59,1.49,1.03,8.87,8.87,8.87
2727.65,7.25,-1.69,7.25,-1.69,1.69,1.58,1.10,8.94,8.94,8.94
2754.93,7.21,-1.79,7.21,-1.79,1.78,1.67,1.17,8.99,8.99,9.00
2782.48,7.17,-1.88,7.17,-1.88,1.86,1.74,1.24,9.04,9.04,9.05
2810.30,7.13,-1.96,7.13,-1.95,1.94,1.82,1.31,9.07,9.07,9.09
2838.40,7.09,-2.01,7.09,-2.01,2.01,1.88,1.39,9.10,9.10,9.10
2866.79,7.05,-2.06,7.05,-2.07,2.07,1.94,1.47,9.12,9.12,9.11
2895.46,7.00,-2.13,7.00,-2.12,2.13,1.99,1.54,9.13,9.13,9.13
2924.41,6.96,-2.18,6.96,-2.18,2.19,2.03,1.62,9.14,9.14,9.13
2953.65,6.91,-2.23,6.91,-2.24,2.24,2.07,1.70,9.15,9.15,9.14
2983.19,6.86,-2.30,6.86,-2.30,2.30,2.11,1.78,9.16,9.16,9.16
3013.02,6.81,-2.36,6.81,-2.35,2.36,2.15,1.86,9.17,9.17,9.17
3043.15,6.77,-2.40,6.77,-2.41,2.41,2.19,1.95,9.18,9.18,9.17
3073.58,6.72,-2.46,6.72,-2.46,2.47,2.22,2.03,9.18,9.18,9.18
3104.32,6.67,-2.52,6.67,-2.52,2.51,2.27,2.12,9.19,9.18,9.19
3135.36,6.63,-2.57,6.63,-2.57,2.55,2.31,2.20,9.18,9.18,9.19
3166.72,6.58,-2.61,6.58,-2.60,2.59,2.36,2.29,9.17,9.18,9.19
3198.38,6.55,-2.63,6.55,-2.63,2.62,2.41,2.38,9.17,9.17,9.17
3230.37,6.51,-2.64,6.51,-2.65,2.65,2.47,2.46,9.16,9.16,9.15
3262.67,6.47,-2.66,6.47,-2.66,2.67,2.52,2.55,9.14,9.14,9.13
3295.30,6.43,-2.68,6.43,-2.68,2.68,2.58,2.64,9.12,9.12,9.11
3328.25,6.40,-2.69,6.40,-2.70,2.70,2.65,2.73,9.09,9.09,9.09
3361.53,6.36,-2.71,6.36,-2.71,2.71,2.71,2.82,9.07,9.07,9.07
3395.15,6.32,-2.72,6.32,-2.72,2.72,2.78,2.90,9.04,9.04,9.04
3429.10,6.28,-2.73,6.29,-2.72,2.73,2.85,2.99,9.01,9.01,9.01
3463.39,6.25,-2.72,6.25,-2.73,2.73,2.93,3.07,8.98,8.98,8.97
3498.03,6.20,-2.74,6.20,-2.74,2.73,3.00,3.16,8.94,8.93,8.94
3533.01,6.15,-2.75,6.15,-2.74,2.73,3.07,3.24,8.88,8.88,8.90
3568.34,6.10,-2.74,6.10,-2.74,2.73,3.15,3.32,8.82,8.83,8.84
3604.02,6.05,-2.72,6.05,-2.72,2.72,3.22,3.39,8.77,8.77,8.77
3640.06,5.99,-2.71,5.99,-2.71,2.72,3.30,3.47,8.72,8.71,8.70
3676.46,5.91,-2.70,5.91,-2.71,2.73,3.38,3.54,8.64,8.64,8.61
3713.22,5.81,-2.73,5.82,-2.72,2.73,3.45,3.60,8.55,8.55,8.54
3750.36,5.72,-2.75,5.72,-2.75,2.74,3.53,3.66,8.46,8.46,8.47
3787.86,5.62,-2.76,5.62,-2.77,2.75,3.60,3.72,8.37,8.37,8.38
3825.74,5.51,-2.80,5.51,-2.80,2.77,3.67,3.77,8.28,8.29,8.31
3864.00,5.41,-2.82,5.41,-2.82,2.80,3.74,3.81,8.21,8.21,8.23
3902.64,5.30,-2.85,5.31,-2.84,2.84,3.81,3.85,8.14,8.15,8.15
3941.66,5.20,-2.88,5.21,-2.88,2.89,3.88,3.89,8.09,8.10,8.08
3981.08,5.10,-2.92,5.09,-2.93,2.96,3.94,3.91,8.06,8.05,8.02
4020.89,4.95,-3.01,4.94,-3.01,3.05,4.00,3.94,8.00,7.99,7.96
4061.10,4.77,-3.13,4.78,-3.13,3.15,4.06,3.95,7.92,7.93,7.90
4101.71,4.59,-3.28,4.59,-3.27,3.28,4.12,3.96,7.87,7.87,7.86
4142.73,4.40,-3.43,4.40,-3.43,3.43,4.18,3.96,7.83,7.83,7.83
4184.15,4.21,-3.60,4.21,-3.60,3.59,4.23,3.96,7.80,7.80,7.80
4226.00,4.01,-3.78,4.01,-3.77,3.77,4.29,3.95,7.78,7.78,7.79
4268.26,3.82,-3.94,3.82,-3.95,3.95,4.34,3.94,7.76,7.76,7.76
4310.94,3.63,-4.12,3.61,-4.13,4.12,4.39,3.92,7.75,7.74,7.74
4354.05,3.40,-4.31,3.40,-4.30,4.30,4.45,3.90,7.70,7.70,7.71
4397.59,3.18,-4.49,3.19,-4.48,4.47,4.50,3.88,7.65,7.66,7.67
4441.56,2.99,-4.65,2.98,-4.65,4.64,4.56,3.85,7.62,7.62,7.63
4485.98,2.79,-4.80,2.79,-4.80,4.81,4.61,3.82,7.60,7.61,7.59
4530.84,2.61,-4.93,2.61,-4.93,4.99,4.66,3.78,7.60,7.60,7.54
4576.15,2.43,-5.07,2.43,-5.07,5.14,4.71,3.75,7.58,7.57,7.50
4621.91,2.25,-5.20,2.25,-5.21,5.27,4.75,3.71,7.52,7.51,7.45
4668.13,2.06,-5.34,2.05,-5.35,5.34,4.76,3.67,7.40,7.39,7.40
4714.81,1.89,-5.44,1.87,-5.46,5.35,4.76,3.63,7.25,7.22,7.33
4761.96,1.74,-5.51,1.77,-5.47,5.31,4.72,3.59,7.04,7.08,7.24
4809.58,1.75,-5.40,1.80,-5.35,5.20,4.67,3.56,6.95,7.00,7.15
4857.67,1.95,-5.09,1.93,-5.10,5.04,4.58,3.52,6.99,6.97,7.03
4906.25,2.14,-4.75,2.10,-4.79,4.83,4.49,3.48,6.97,6.93,6.89
4955.31,2.26,-4.49,2.26,-4.49,4.58,4.38,3.45,6.84,6.84,6.75
5004.87,2.35,-4.24,2.37,-4.23,4.31,4.27,3.41,6.67,6.68,6.59
5054.91,2.44,-4.01,2.45,-4.00,4.04,4.17,3.38,6.49,6.50,6.45
5105.46,2.53,-3.76,2.51,-3.77,3.79,4.06,3.35,6.33,6.30,6.29
5156.52,2.55,-3.57,2.54,-3.58,3.57,3.97,3.32,6.12,6.11,6.12
5208.08,2.53,-3.41,2.54,-3.40,3.38,3.87,3.30,5.91,5.92,5.94
5260.16,2.51,-3.24,2.52,-3.23,3.22,3.79,3.28,5.73,5.74,5.75
5312.77,2.49,-3.07,2.47,-3.08,3.09,3.70,3.26,5.58,5.56,5.56
5365.89,2.40,-2.95,2.39,-2.95,2.99,3.63,3.24,5.39,5.39,5.34
5419.55,2.26,-2.87,2.27,-2.87,2.93,3.55,3.23,5.18,5.19,5.13
5473.75,2.10,-2.82,2.08,-2.84,2.88,3.49,3.22,4.98,4.96,4.92
5528.49,1.87,-2.83,1.85,-2.85,2.86,3.42,3.21,4.73,4.72,4.70
5583.77,1.60,-2.89,1.62,-2.86,2.86,3.36,3.21,4.46,4.48,4.49
5639.61,1.38,-2.88,1.39,-2.88,2.85,3.30,3.21,4.23,4.24,4.26
5696.00,1.21,-2.84,1.16,-2.88,2.83,3.24,3.21,4.04,3.99,4.05
